microRNA,R_squared
hsa-miR-5589-5p,0.624344529674981
hsa-miR-376a-5p,0.62429846163327
hsa-miR-491-5p,0.624238275948319
hsa-miR-5584-5p,0.624199260040992
hsa-miR-514b-3p,0.622918407337101
hsa-miR-4421,0.622703506478212
hsa-miR-769-3p,0.622555888193322
hsa-miR-135a-3p,0.622461346871897
hsa-miR-6803-3p,0.622366363883032
hsa-miR-190a-5p,0.622032159055186
hsa-miR-20b-3p,0.621952957588925
hsa-miR-377-3p,0.621501640761362
hsa-miR-212-3p,0.620593379383997
hsa-miR-367-5p,0.620332542785528
hsa-miR-628-3p,0.619774906716952
hsa-miR-525-5p,0.619368055957167
hsa-miR-5187-5p,0.618805455942622
hsa-miR-495-5p,0.618383405117098
hsa-miR-520g-5p,0.617826406287519
hsa-miR-3154,0.61724439379514
hsa-miR-217-5p,0.615823334923169
hsa-miR-2682-5p,0.615743302939408
hsa-miR-517a-3p,0.61534281310383
hsa-miR-517b-3p,0.61523562910047
hsa-miR-9-3p,0.615035680917985
hsa-miR-486-5p,0.614945511593971
hsa-miR-770-5p,0.614907585934934
hsa-miR-887-3p,0.614500265519633
hsa-miR-521,0.61405804336945
hsa-miR-365b-5p,0.613588564712606
hsa-miR-4525,0.613099892927421
hsa-miR-5010-5p,0.612938575726345
hsa-miR-514b-5p,0.612470949200136
hsa-miR-522-3p,0.612261063193463
hsa-miR-33a-3p,0.612000652280632
hsa-miR-525-3p,0.611841274341262
hsa-miR-129-1-3p,0.61069105641928
hsa-miR-149-3p,0.609249113003414
hsa-miR-376a-3p,0.609062643549828
hsa-miR-26a-1-3p,0.608535350389132
hsa-miR-4449,0.607478752779032
hsa-miR-486-3p,0.605733108849561
hsa-miR-450a-2-3p,0.605524163389102
hsa-miR-4443,0.605509640969107
hsa-miR-1283,0.605469659085909
hsa-miR-6802-3p,0.605413192171697
hsa-miR-6875-5p,0.605321176550285
hsa-miR-181b-2-3p,0.605128576109738
hsa-miR-4668-3p,0.605121134699699
hsa-miR-2355-3p,0.605042244527438
hsa-miR-5001-5p,0.603151501383932
hsa-miR-410-5p,0.6028467136867
hsa-miR-105-3p,0.60162139718269
hsa-miR-503-3p,0.601418547035826
hsa-miR-433-5p,0.601256488056484
hsa-miR-92a-2-5p,0.600659555841121
hsa-miR-2276-3p,0.599280822189924
hsa-miR-32-3p,0.59914515046738
hsa-miR-616-3p,0.598681695381552
hsa-miR-26b-3p,0.596431960122946
hsa-miR-887-5p,0.595990239348635
hsa-miR-4664-3p,0.595710073164034
hsa-miR-3614-3p,0.595333830439847
hsa-miR-3158-5p,0.593914945774813
hsa-miR-3609,0.59372427101947
hsa-miR-519e-5p,0.593623706242827
hsa-miR-132-5p,0.593039710258913
hsa-miR-1185-5p,0.59300938137216
hsa-miR-3610,0.592002801629392
hsa-miR-147b-3p,0.591186044953722
hsa-miR-4772-5p,0.591044172361126
hsa-miR-551a,0.589569626252916
hsa-miR-624-5p,0.58900477502662
hsa-miR-1295b-3p,0.588857989034962
hsa-miR-548b-3p,0.588723056391525
hsa-miR-939-5p,0.588659295553277
hsa-miR-7974,0.588275408188335
hsa-miR-34b-3p,0.587904482716753
hsa-miR-1277-3p,0.587771805353926
hsa-miR-379-3p,0.586914425497106
hsa-miR-3620-3p,0.585649762370437
hsa-miR-3691-5p,0.585391608882126
hsa-miR-411-3p,0.585031321941559
hsa-miR-6877-5p,0.584860525653846
hsa-miR-381-5p,0.584744285271469
hsa-miR-331-5p,0.584594914260301
hsa-miR-5698,0.584121198840004
hsa-miR-4521,0.583697099465215
hsa-miR-767-3p,0.583488982066292
hsa-miR-10a-3p,0.583260761047477
hsa-miR-188-5p,0.583164072998253
hsa-miR-541-5p,0.58300072603115
hsa-miR-4491,0.582570338779993
hsa-miR-4709-3p,0.582525430017505
hsa-miR-1247-5p,0.582434904813777
